company name,address,site code,audit result,audit grade,audit type,previous audit date,previous audit grade,certificate issue date,certificate expiry date,fundamental,critical,major,minor,auditor company,auditor name,audit start date,audit finish date,total_ncs
International Taste Solutions 1463101 Company,Innovation House Abex Road Newbury Berkshire RG14 5EY,1463101,certificated,aa,announced,2/27/2019,aa,3/26/2020,4/10/2021,0,0,0,5,"UK Food Certification, Winnington Hall, Northwich, Cheshire CW8 4DU",john burnett,1 (start date)  2020-02-25  08:00  18:00,2/26/2020,5
International Taste Solutions 1463101 Company,Innovation House Abex Road Newbury Berkshire RG14 5EY,1463101,certificated,aa,announced,2/27/2019,aa,3/26/2020,4/10/2021,0,0,0,5,"UK Food Certification, Winnington Hall, Northwich, Cheshire CW8 4DU",john burnett,1 (start date)  2020-02-25  08:00  18:00,2/26/2020,5
IRUPE PARAGUAY S.A. 1479861 Company,"Chamacoco 1648 c/ Las Perlas, CP 2060 - Luque, Central",1479861,certificated,aa,remote,11/26/2020,aa,1/4/2022,1/7/2023,0,0,0,0,"SGS United Kingdom Limited 217-221 London Road, Camberley, GU15 3EY, Tel 01276 697854 E-mail globalbrc@sgs.com",claudia taddey,1  2021-11-22  08:55  18:40,11/23/2021,0
KaTech Ingredient Solutions GmbH 4807241 Company,,4807241,certificated,a,announced,2/17/2020,aa,3/29/2021,4/25/2022,0,0,0,10,"AIB International Certification Services, Inc. – 1213 Bakers Way, PO Box 3999, Manhattan, KS 66505-3999, USA",ralph geyer,1  2021-02-15  08:30  17:30,2/16/2021,10
"Lone Star Beef Processors, L.P. 6498032 Company","2150 East 37th Street San Angelo, Texas 76903",6498032,certificated,a,announced,6/19/2019,aa,5/1/2020,5/21/2021,0,0,0,7,"FSNS Certification & Audit, LLC. 199 W Rhapsody Drive San Antonio Texas 78216",alyssa mcmahan,1  2020-04-07  08:00  18:00,4/9/2020,7
Malt Products / International 1480914 Company,4744 Wolf Creek Pike Dayton OH 45427,1480914,certificated,aa,announced,4/20/2021,aa,5/2/2022,6/9/2023,0,0,0,2,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,colette thiel,1  2022-03-30  08:00  18:00,3/31/2022,2
Malt Products / International 1480914 Company,4744 Wolf Creek Pike Dayton OH 45427,1480914,certificated,aa,announced,10/15/2020,aa,5/5/2021,6/9/2022,0,0,0,3,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,mike wallace,1  2021-04-20  8:00  16:30,4/22/2021,3
National Frozen Foods Company,"Albany, Oregon 97321 Site Telephone",8786898,certificated,a,announced,7/29/2019,,,,0,0,0,10,"SGS United Kingdom Limited 217-221 London Road, Camberley, GU15 3EY, Tel 01276 697854 E-mail globalbrc@sgs.com",mark bacola,1   2020-07-21  09:00  18:00,7/23/2020,10
"PacMoore Process Technologies, LLC 5081850 Company","100 PacMoore Parkway, Mooresville IN 46158",5081850,certificated,aa,announced,8/26/2019,a,3/17/2021,3/30/2022,0,0,0,5,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,kevin byrne,1  2021-02-16  08:30  17:30,2/18/2021,5
"PacMoore Process Technologies, LLC 5081850 Company","100 PacMoore Parkway, Mooresville IN 46158",5081850,certificated,aa,announced,8/26/2019,a,3/17/2021,3/30/2022,0,0,0,5,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,kevin byrne,1  2021-02-16  08:30  17:30,2/18/2021,5
PacMoore Processing 5081850 Company,"100 PacMoore Parkway, Mooresville IN 46158",5081850,certificated,aa,announced,2/16/2021,aa,2/21/2022,3/30/2023,0,0,0,3,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,kevin byrne,1  2022-01-24  08:15  16:45,1/26/2022,3
Pasfrost nv 1677313 Company,Passendalestraat 80 8980 Zonnebeke,1677313,certificated,aa+,unannounced,4/27/2020,aa+,5/20/2021,6/16/2022,0,0,0,4,Tel +39 0396899905 -  Fax +39 039 6899930 – e-mail: milan@dnvgl.com – web page www.dnvgl.com,c. dequeecker,1  2021-04-13  09:00  17:00,4/15/2021,4
Pasfrost nv 1677313 Company,Passendalestraat 80 8980 Zonnebeke,1677313,certificated,aa+,unannounced,4/27/2020,aa+,5/20/2021,6/16/2022,0,0,0,4,Tel +39 0396899905 -  Fax +39 039 6899930 – e-mail: milan@dnvgl.com – web page www.dnvgl.com,c. dequeecker,1  2021-04-13  09:00  17:00,4/15/2021,4
Sea Watch International Ltd - 5169351 Company,242 S. Rehoboth Boulevard Milford Delaware 19963,,certificated,aa,announced,3/1/2021,aa,4/7/2022,4/6/2023,0,0,0,0,Certification Body name and address,f834 english food template v9 27/11/2020 page 2 of 57 report no. auditor:,1 3/2/2022 08:00 19:00,,0
"Sensient Natural Ingredients, 8271732 Company","9984 W. Walnut Ave, Livingston, CA 95334",8271732,certificated,b,announced,9/23/2020,a,10/1/2021,11/4/2022,0,0,0,14,"Certification Body name and address: SAFE FOOD CERTIFICATIONS, LLC. 710 STRIKER AVENUE, SACRAMENTO, CA 95834 USA",narayan patil,1  2021-08-30  8:30  17:20,9/1/2021,14
"Sensient Natural Ingredients, 8271732 Company","9984 W. Walnut Ave, Livingston, CA 95334",8271732,certificated,b,announced,9/23/2020,a,10/1/2021,11/4/2022,0,0,0,14,"Certification Body name and address: SAFE FOOD CERTIFICATIONS, LLC. 710 STRIKER AVENUE, SACRAMENTO, CA 95834 USA",narayan patil,1  2021-08-30  8:30  17:20,9/1/2021,14
Siam Agro-Food Industry Public 1464546 Company,"363 Moo 2, Self-Help Land, Settlement No.13 Rd., Nikom Pattana, Rayong 21180",1464546,certificated,b,announced,5/17/2019,b+,12/22/2020,12/23/2021,0,0,0,12,"BSI Group, Suite 1, Level 1, 54 Waterloo Road, Macquarie Park, NSW 2113, Australia",issaree phumtip,1 (start date) 2020-11-11 08:00 17:00,11/13/2020,12
Siam Agro-Food Industry Public 1464546 Company,"363 Moo 2, Self-Help Land, Settlement No.13 Rd., Nikom Pattana, Rayong 21180",1464546,certificated,b,announced,5/17/2019,b+,12/22/2020,12/23/2021,0,0,0,12,"BSI Group, Suite 1, Level 1, 54 Waterloo Road, Macquarie Park, NSW 2113, Australia",issaree phumtip,1 (start date) 2020-11-11 08:00 17:00,11/13/2020,12
"Smith Frozen Foods, Inc. 2005798 Company",,2005798,certificated,aa,announced,6/9/2020,b,6/25/2021,7/25/2022,0,0,0,4,"AIB International Certification Services, Inc. – 1213 Bakers Way, PO Box 3999, Manhattan, KS 66505-3999",rick cooper,1  2021-06-01  08:00  16:30,6/3/2021,4
The Garlic Company 2062427 Company,18602 Zerker Road Shafter California 93263,2062427,certificated,aa,announced,5/21/2020,aa,5/4/2021,5/12/2022,0,0,0,3,"FSNS Certification & Audit, LLC. 199 West Rhapsody Drive, San Antonio, TX 78216",s. cumming,1  2021-03-30  07:00  17:00,3/31/2021,3
The International Company For Agricultural Production and 1220644 Company,"Industrial Zone A2 (Lot W), 10th of Ramadan city, El Sharkia",1220644,certificated,a,announced,12/14/2020,a,1/25/2022,2/10/2023,0,0,0,7,QMSCERT 26th OCTOBER 90 Str. – GR 546 27 – THESSALONIKI – HELLAS,ahmed fathy ahmed,1   2021-12-14  08:00  19:00,12/15/2021,7
The International Company For Agricultural Production and 1220644 Company,"Industrial Zone A2 (Lot W), 10th of Ramadan city, El Sharkia",1220644,certificated,a,announced,12/14/2020,a,1/25/2022,2/10/2023,0,0,0,7,QMSCERT 26th OCTOBER 90 Str. – GR 546 27 – THESSALONIKI – HELLAS,ahmed fathy ahmed,1   2021-12-14  08:00  19:00,12/15/2021,7
Vita-Pakt Citrus Products Company 2142444 Company,"525 E. Lindmore Avenue, Lindsay CA 93247",2142444,certificated,aa,announced,11/12/2019,aa,4/28/2021,5/11/2022,0,0,0,5,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,mike wallace,1   2021-03-30  8:00  16:00,4/1/2021,5
Warmińskie Zakłady Przetwórstwa 1232855 Company,"ul. Południowa 2, 82-500 Kwidzyn Polska",1232855,certificated,b,announced,6/15/2020,b,7/23/2021,8/2/2022,0,0,0,14,Tel: +48 22 490 86 51 Fax: +48 22 427 51 82 email: biuro@gqcert.com  website: www.gqcert.com,barbara kleszczyńska,1  2021-06-21  10:00  18:30,6/25/2021,14
Warmińskie Zakłady Przetwórstwa 1232855 Company,"ul. Południowa 2, 82-500 Kwidzyn Polska",1232855,certificated,b,announced,6/15/2020,b,7/23/2021,8/2/2022,0,0,0,14,Tel: +48 22 490 86 51 Fax: +48 22 427 51 82 email: biuro@gqcert.com  website: www.gqcert.com,barbara kleszczyńska,1  2021-06-21  10:00  18:30,6/25/2021,14
"WTI, Inc. 8195163 Company",281 Martin Luther King Avenue Jefferson Georgia 30549,,certificated,aa,announced,8/27/2020,aa,10/12/2021,10/18/2022,0,0,0,0,Certification Body name and address,f834 english food template v9 27/11/2020 page 2 of 53 report no. auditor:,1 9/7/2021 07:45 15:45,,0
"WTI, Inc. 8195163 Company",281 Martin Luther King Avenue Jefferson Georgia 30549,,certificated,aa,announced,8/27/2020,aa,10/12/2021,10/18/2022,0,0,0,0,Certification Body name and address,f834 english food template v9 27/11/2020 page 2 of 53 report no. auditor:,1 9/7/2021 07:45 15:45,,0
"Xinghua Runhe Foods Co., Ltd. 2907969 Company","Chengdong Town of Xinghua Industrial Zone, Taizhou City, Jiangsu Province",2907969,certificated,a,announced,12/19/2018,,,2/4/2021,0,0,0,6,"SGS United Kingdom Limited 217-221 London Road, Camberley, GU15 3EY, Tel 01276 697854 E-mail globalbrc@sgs.com",lynn ding,1 (start date)  2019-12-23  08:25  18:05,12/24/2019,6
"Xinghua Runhe Foods Co., Ltd. 2907969 Company","Chengdong Town of Xinghua Industrial Zone, Taizhou City, Jiangsu Province",2907969,certificated,a,announced,12/19/2018,,,2/4/2021,0,0,0,6,"SGS United Kingdom Limited 217-221 London Road, Camberley, GU15 3EY, Tel 01276 697854 E-mail globalbrc@sgs.com",lynn ding,1 (start date)  2019-12-23  08:25  18:05,12/24/2019,6
